IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.157.208,4,4,0.00,74.92,95.98,SIN
108.162.195.8,4,4,0.00,74.63,95.74,SIN
162.159.18.166,4,4,0.00,75.29,95.65,SIN
172.64.158.48,4,4,0.00,75.76,95.59,SIN
108.162.193.93,4,4,0.00,74.76,95.46,SIN
172.64.153.49,4,4,0.00,75.15,94.87,SIN
162.159.49.129,4,4,0.00,76.49,94.67,SIN
162.159.14.54,4,4,0.00,75.46,94.52,SIN
172.64.144.195,4,4,0.00,74.25,94.13,SIN
162.159.11.185,4,4,0.00,74.76,93.89,SIN
172.64.38.111,4,4,0.00,75.88,93.83,SIN
162.159.7.220,4,4,0.00,75.97,93.69,SIN
173.245.59.88,4,4,0.00,75.05,93.22,SIN
162.159.23.206,4,4,0.00,76.30,93.12,SIN
172.64.147.226,4,4,0.00,74.73,92.68,SIN
172.64.50.203,4,4,0.00,74.21,89.06,SIN
162.159.10.246,4,4,0.00,75.47,65.94,SIN
162.159.20.73,4,4,0.00,76.36,64.64,SIN
172.64.148.234,4,4,0.00,75.71,60.23,SIN
172.64.152.110,4,4,0.00,74.52,55.78,SIN
